District,Name,Server,Comments,,,,,,
NOC,NOCCAANTPTR02,\\NOCCAANTFSV01,RICOH Aficio MP C5502A 10.142.66.19,,,,,,
NOC,NOCCAANTPTR03,\\NOCCAANTFSV01,RICOH Aficio MP 8001 10.142.66.18,,,,,,
NOC,NOCCAANTPTR04,\\NOCCAANTFSV01,HP LaserJet P3015 PCL6   10.142.66.28,,,,,,
NOC,NOCCAANTPWF01,\\NOCCAANTFSV01,Xerox 6204 Wide Format with FreeFlow Accxes   10.142.66.31,,,,,,
TUS,HP Universal Printing PS (v5.3),\\TUSCAAPBFSV01,TUSCAAPBPTR02                       ,,,,,,
TUS,Savin 8075 PCL,\\TUSCAAPBFSV01,TUSCAAPBPRT03,,,,,,
TUS,TUSCAAPBPTR01,\\TUSCAAPBFSV01,TUSCAAPBPTR01,,,,,,
MET,MECCAPRINT3,\\METCALAVFSV01,MECCAPRINT3,,,,,,
MET,MECCCACOPY1BW,\\METCALAVFSV01,RICOH Aficio MP C6501,,,,,,
MET,MECCCACOPY1Color,\\METCALAVFSV01,RICOH Aficio 3260C,,,,,,
MET,MECCCACOPY2BW,\\METCALAVFSV01,BW DEFAULT,,,,,,
MET,MECCCACOPY2Color,\\METCALAVFSV01,COLOR DEFAULT,,,,,,
MET,MECCCAPlot1,\\METCALAVFSV01,HP DesignJet 500 42 by HP,,,,,,
MET,MECCCAPRINT1,\\METCALAVFSV01,HP LaserJet 8150,,,,,,
CFA,CanonC5051,\\CFAIADAVFSV01,Canon iR-ADV C5051,,,,,,
CFA,CFAIADAVPTR00,\\CFAIADAVFSV01,Xerox WorkCentre 7225 PCL6,,,,,,
CFA,HP Designjet 800 42 by HP,\\CFAIADAVFSV01,HP Designjet 800 42 by HP,,,,,,
CFA,HP LaserJet 4345MFP PCL 6,\\CFAIADAVFSV01,HP LaserJet 4345MFP PCL 6,,,,,,
CFA,Xerox 6604 Wide Format with FreeFlow Accxes,\\CFAIADAVFSV01,Xerox 6604 Wide Format with FreeFlow Accxes,,,,,,
KBM,KBMWA52B-EAST no Tabloid,\\KBMWA52BFSV01,KBMWA52B-EAST no Tabloid pcl 6,,,,,,
