District,Letter,Path,Comment,,,,
KBM,,\\KBMWA52CFSV01\Users,User folders,,,,
CFA,,\\CFANELINFSV01\LinData,,,,,
KMG,,\\KMGIDRASFSV01\Shared Folders,,,,,
KMG,,\\KMGTXSMMFSV01\Shared Folders,,,,,
KBG,,\\KBGCAOTCFSV01\Share,KBGCAOTCFSV01,,,,
KBG,,\\KBGCOUSSFSV01\Share,,,,,
KBG,,\\KBGNESTDFSV01\Active,,,,,
KBG,,\\KBGNESTDFSV01\Archive,,,,,
KMG,,\\KMGWYBMCFSV01\apache,,,,,
KMG,,\\KMGWYBMCFSV01\conf,,,,,
WCD,,\\WCDBCKOKFSV01\Data,,,,,
WCD,,\\WCDBCKOKFSV01\Users,,,,,
KBG,,\\KBGNEOMAFSV01\Share,,,,,
KBG,,\\KBGNEOMAFSV01\Users,,,,,
KSW,,\\KSWUTAMEFSV01\Share,KSWUTAMEFSV01/Hugo ,,,,
KSW,,\\KSWUTAMEFSV01\users,KSWUTAMEFSV01/Hugo ,,,,
GWD,,\\GWDABACHFSV01\Backup,,,,,
GWD,,\\GWDABACHFSV01\Data,,,,,
GWD,,\\GWDABACHFSV01\Users,,,,,
KHO,,\\KHONESDCFSV01\nonprodhcm,,,,,
KHO,,\\KHONESDCFSV01\pttst,,,,,
KHO,,\\KHONESDCFSV01\quorum,,,,,
TWE,,\\TWECAHUNFSV01\D,,,,,
TWE,,\\TWECAHUNFSV01\Data,,,,,
TWE,,\\TWECAHUNFSV01\Users,,,,,
KBG,,\\KBGCODIWFSV01\Apps,,,,,
KBG,,\\KBGCODIWFSV01\Scripts,,,,,
KBG,,\\KBGCODIWFSV01\Share,,,,,
KBG,,\\KBGCOCSMFSV01\Share,,,,,
NOC,,\\NOCLAWB7FSV01\QCS,,,,,
NOC,,\\NOCLAWB7FSV01\Share,,,,,
KBG,,\\KBGCOVACFSV01\DATA,,,,,
KBG,,\\KBGCOVACFSV01\Project_Eagle,,,,,
KBG,,\\KBGCOVACFSV01\USER,,,,,
KSC,,\\KSCGAPTCFSV01\Archived,,,,,
KSC,,\\KSCGAPTCFSV01\EZAUDIT,,,,,
KSC,,\\KSCGAPTCFSV01\NetAdmin,,,,,
KSC,,\\KSCGAPTCFSV01\Share,,,,,
KBG,,\\kbgcouccfsv01\DATA,,,,,
KCS,,\\KCSCOCENFSV01\Share,,,,,
KCS,,\\KCSCOCENFSV01\Users,,,,,
NOC,,\\noccafaifsv01\S01,Fairfield NS4 CIFS share S01 ,,,,
NOC,,\\noccafaifsv01\S02,Fairfield NS4 CIFS share S02,,,,
KBG,,\\KBGHIKIIFSV01\DATA,,,,,
KBG,,\\KBGHIKIIFSV01\USER,,,,,
CEN,,\\CENCOWYNFSV01\Apps,,,,,
CEN,,\\CENCOWYNFSV01\DDCHESTNUT,,,,,
CEN,,\\CENCOWYNFSV01\Share,,,,,
CEN,,\\CENCOWYNFSV01\Users,,,,,
UGD,,\\UGDORPORFSV01\Kemano,,,,,
UGD,,\\UGDORPORFSV01\Scripts,,,,,
UGD,,\\UGDORPORFSV01\Share,,,,,
UGD,,\\UGDORPORFSV01\User,,,,,
NOC,,\\NOCCACVDFSV01\CMS4WIN,,,,,
NOC,,\\NOCCACVDFSV01\share,,,,,
ECD,,\\ECDONLMPFSV01\lm,,,,,
ECD,,\\ECDONLMPFSV01\Photos,,,,,
ECD,,\\ECDONLMPFSV01\Transfers,,,,,
ECD,,\\ECDONLMPFSV01\users,,,,,
KBG,,\\KBGNEOCCFSV01\IM,,,,,
KBG,,\\KBGNEOCCFSV01\Share,,,,,
EAS,,\\EASNYCOLFSV01\Share,,,,,
KBG,,\\KBGHIHONFSV01\IM,,,,,
KBG,,\\KBGHIHONFSV01\Share,,,,,
KBG,,\\KBGHIAIRFSV01\Share,,,,,
KBG,,\\KBGNELINFSV01\Scripts,,,,,
KBG,,\\KBGNELINFSV01\Share,,,,,
KBG,,\\KBGNELINFSV01\users,,,,,
WCD,,\\WCDBCMICFSV01\Mica_Data,,,,,
WCD,,\\WCDBCMICFSV01\Users,,,,,
TUS,,\\tusgagwifsv01\DATA,,,,,
KHO,,\\KHONEMDCFSV01\CEN,,,,,
KHO,,\\KHONEMDCFSV01\Center Hill_TN,,,,,
KHO,,\\KHONEMDCFSV01\IE_EntMode ,,,,,
KHO,,\\KHONEMDCFSV01\Server2012OVF,,,,,
KHO,,\\KHONEMDCFSV01\test,,,,,
KHO,,\\KHONEMDCFSV01\Test1,,,,,
TSW,,\\TSWNVCARFSV01\DATA,,,,,
TSW,,\\TSWNVCARFSV01\DFSoftware,,,,,
TSW,,\\TSWNVCARFSV01\NetAdmin,,,,,
KBG,,\\KBGCAEXPFSV01\IM,,,,,
KBG,,\\KBGCAEXPFSV01\Share,,,,,
KBG,,\\KBGTXHPEFSV01\Share,,,,,
KPD,,\\KPDKSLENFSV01\BenchmarkTest,,,,,
KPD,,\\KPDKSLENFSV01\KPIsoSymbols ,,,,,
